List the type of the recent files in my drive	GET drive.recent
Give me the created by of files that were created this week about bugzillaOverflow in the order of their size from largest to smallest?	GET drive.root.children FILTER file.name eq bugzillaOverflow FILTER file.createdDateTime eq this week ORDERBY file.size desc
Provide me the created by of Synchronous learning files in the ascending order.	GET drive.root.children FILTER file.name eq Synchronous learning ORDERBY file.name asc
Tell me the number of excel files.	GET drive.root.children FILTER file.fileType eq xlsx COUNT
Provide me with the top 19 created by of files that were last updated by Shelton.	GET drive.root.children FILTER file.lastModifiedBy eq Shelton TOP 19
Give me the number of files that were shared with specific users about veer.	GET drive.root.children FILTER file.name eq veer FILTER file.sharedWith eq specific users COUNT
How many files were last updated yesterday?	GET drive.root.children FILTER file.lastModifiedDateTime eq yesterday COUNT
Provide me the number of contextaware files shared with specific user that were last modified this Thursday.	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.name eq contextaware FILTER file.lastModifiedDateTime eq this Thursday COUNT
What are the created by of files that were created this week about bugzillaOverflow in the order of their size from largest to smallest?	GET drive.root.children FILTER file.name eq bugzillaOverflow FILTER file.createdDateTime eq this week ORDERBY file.size desc
Provide me the number of contextaware files shared with specific user that were last modified this Thursday.	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.name eq contextaware FILTER file.lastModifiedDateTime eq this Thursday COUNT
Give me the created by of files which were updated by Diane Hendeson three hours ago ordered by size from largest to smallest.	GET drive.root.children FILTER file.lastModifiedDateTime eq three hours ago FILTER file.lastModifiedBy eq Diane Hendeson ORDERBY file.size desc
List out the created by of Synchronous learning files in the ascending order.	GET drive.root.children FILTER file.name eq Synchronous learning ORDERBY file.name asc
Give me the number of files that were shared with specific users about veer.	GET drive.root.children FILTER file.name eq veer FILTER file.sharedWith eq specific users COUNT
How many files were last updated yesterday?	GET drive.root.children FILTER file.lastModifiedDateTime eq yesterday COUNT
How many agillion files I have in my drive?	GET drive.root.children FILTER file.name eq agillion COUNT
Give me the number of files named as agillion.	GET drive.root.children FILTER file.name eq agillion COUNT
Give me the information about created by of files shared with anyone in my organization and were last modified by Shawnna.	GET drive.root.children FILTER file.sharedWith eq anyone in my organization FILTER file.lastModifiedBy eq Shawnna
Give me the number of files present in the drive.	GET drive.root.children COUNT
Provide me with the number of files named as emergent.	GET drive.root.children FILTER file.name eq emergent COUNT
How many files were last updated yesterday?	GET drive.root.children FILTER file.lastModifiedDateTime eq yesterday COUNT
List out the last updated 18 png files that were created last month and shared with specific user.	GET drive.sharedWithMe FILTER file.createdDateTime eq last month FILTER file.sharedWith eq specific users FILTER file.fileType eq png ORDERBY file.lastModifiedDateTime desc TOP 18
How many excel files about Dry season were shared with me which were created by Jospeh and were last modified two hours ago?	GET drive.sharedWithMe FILTER file.fileType eq xlsx FILTER file.createdBy eq Jospeh FILTER file.name eq Dry season FILTER file.lastModifiedDateTime eq two hours ago COUNT
Give me the shared with status of pdf files that were named as MARKETING BOARDS.	GET drive.root.children FILTER file.name eq MARKETING BOARDS FILTER file.fileType eq pdf
Give me the number of presentation files that were shared with anyone.	GET drive.root.children FILTER file.fileType eq ppt FILTER file.sharedWith eq anyone COUNT
Tell me about the image files shared with specific users.	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.fileType eq png
Provide me the number of recent image files that were created by Rosaria Eis.	GET drive.recent FILTER file.fileType eq png FILTER file.createdBy eq Rosaria Eis COUNT
Make a list of pdf files that were last modified by Godyn.	GET drive.root.children FILTER file.lastModifiedBy eq Godyn FILTER file.fileType eq pdf
Give me the size of png files created by Nessel.	GET drive.root.children FILTER file.createdBy eq Nessel FILTER file.fileType eq png
How many excel files shared with me were created by Menier and lastly edited by Alex Martinolli?	GET drive.sharedWithMe FILTER file.createdBy eq Menier FILTER file.fileType eq xlsx FILTER file.lastModifiedBy eq Alex Martinolli COUNT
Give me the top 15 image files shared with anyone that were created last Thursday and ordered by updated time from oldest to newest.	GET drive.root.children FILTER file.fileType eq jpeg FILTER file.createdDateTime eq last Thursday FILTER file.sharedWith eq anyone ORDERBY file.lastModifiedDateTime asc TOP 15
Give me the jpeg files that Schatzle created in reverse alphabetical order.	GET drive.root.children FILTER file.fileType eq jpeg FILTER file.createdBy eq Schatzle ORDERBY file.name desc
What jpeg files did Schatzle created in Z-A order?	GET drive.root.children FILTER file.fileType eq jpeg FILTER file.createdBy eq Schatzle ORDERBY file.name desc
Make a list of top 14 jpeg files that were created by Venegas and shared with anyone ordered by name from A to Z.	GET drive.sharedWithMe FILTER file.fileType eq jpeg FILTER file.sharedWith eq anyone FILTER file.createdBy eq Venegas ORDERBY file.name asc TOP 14
Give me the last modified files ordered by name in descending alphabetical order.	GET drive.root.children FILTER file.lastModifiedBy eq Draney ORDERBY file.name desc
Tell me about the  image files that were last modified yesterday and shared with specific users ordered by name in alphabetical order.	GET drive.root.children FILTER file.lastModifiedDateTime eq yesterday FILTER file.sharedWith eq specific users FILTER file.fileType eq png ORDERBY file.name asc
What are the files about peoples ordered by name from Z-A?	GET drive.root.children FILTER file.name eq people ORDERBY file.name desc
Give me the name of top 16 files in descending alphabetical order. 	GET drive.root.children TOP 16 ORDERBY file.name desc
What is the name of top 7 files in A-Z order?	GET drive.root.children TOP 7 ORDERBY file.name asc
What are the files created by Allen that were modified one hour ago by name in alphabetical order?	GET drive.root.children FILTER file.createdBy eq Allen FILTER file.lastModifiedDateTime eq one hour ago ORDERBY file.name asc
Provide the names of the files that were created by Gladis Zalesky ordered by name from A to Z.	GET drive.root.children FILTER file.createdBy eq Gladis Zalesky ORDERBY file.name asc
List out the created by of Synchronous learning files in the ascending order.	GET drive.root.children FILTER file.name eq Synchronous learning ORDERBY file.name asc
Provide the names of the files that were created by Gladis Zalesky ordered by name from A to Z.	GET drive.root.children FILTER file.createdBy eq Gladis Zalesky ORDERBY file.name asc
What are the image files I have? Give them in Z to A order.	GET drive.root.children FILTER file.name eq image ORDERBY file.name desc
What files were created by Lynetta and were lastly edited by Emanuel Peffly ordered by name from Z to A.	GET drive.root.children FILTER file.lastModifiedBy eq Emanuel Peffly FILTER file.createdBy eq Lynetta ORDERBY file.name desc
